# wave	flux	error	model
# 
1.384599999999999909e+03 1.032869999999999955e+00 3.580520000000000230e-02 9.001541125879295446e-01
1.384630000000000109e+03 9.893110000000000515e-01 3.502349999999999908e-02 9.097870724857939351e-01
1.384660000000000082e+03 9.502549999999999608e-01 3.431939999999999991e-02 9.182869938554037992e-01
1.384690000000000055e+03 1.004369999999999985e+00 3.527609999999999774e-02 9.260466193725099826e-01
1.384720000000000027e+03 1.016480000000000050e+00 3.551850000000000146e-02 9.331921441485271362e-01
1.384750000000000000e+03 9.772129999999999983e-01 3.482659999999999922e-02 9.396878827830469350e-01
1.384779999999999973e+03 9.334289999999999532e-01 3.421430000000000304e-02 9.454517246662086372e-01
1.384809999999999945e+03 9.620940000000000047e-01 3.462629999999999875e-02 9.504642540698483577e-01
1.384839999999999918e+03 1.059739999999999904e+00 3.623439999999999994e-02 9.548177932145445190e-01
1.384869999999999891e+03 9.828599999999999559e-01 3.503420000000000145e-02 9.586874728100053256e-01
1.384900000000000091e+03 1.014369999999999994e+00 3.545220000000000315e-02 9.622514721938278948e-01
1.384930000000000064e+03 9.978259999999999907e-01 3.517630000000000062e-02 9.656291499116607113e-01
1.384960000000000036e+03 1.043940000000000090e+00 3.599949999999999678e-02 9.688665247702813454e-01
1.384990000000000009e+03 9.862340000000000551e-01 3.497750000000000165e-02 9.719530559822310289e-01
1.385019999999999982e+03 9.743479999999999919e-01 3.492730000000000140e-02 9.748474669878676169e-01
1.385049999999999955e+03 1.006269999999999998e+00 3.539090000000000291e-02 9.775064296803639419e-01
1.385079999999999927e+03 9.418499999999999650e-01 3.423029999999999823e-02 9.799012945871137248e-01
1.385109999999999900e+03 1.004170000000000007e+00 3.539830000000000060e-02 9.820188847131979815e-01
1.385140000000000100e+03 9.904450000000000198e-01 3.506580000000000114e-02 9.838610715793091321e-01
1.385170000000000073e+03 1.020329999999999959e+00 3.559640000000000026e-02 9.854457177347016872e-01
1.385200000000000045e+03 9.393479999999999608e-01 3.415800000000000086e-02 9.868048635381561073e-01
